uuid,poll_uuid,option_text,created_at,updated_at
aedc396c-dcfd-4635-9206-57203cae2d7f,ae7f6bc1-8c4b-4a2a-a527-9e35fa65de90,semper porta volutpat quam pede lobortis ligula sit amet eleifend,8/31/2025,8/31/2025
70419653-2c75-4dea-bfee-274602ec9cf6,7d7ff48f-7cad-450a-b357-415a50e140dc,quis orci,8/31/2025,8/31/2025
5156d539-ab45-4520-998a-5b20ec7a1709,f3a3ab0e-783d-47da-8f48-ee14bfd0aa84,odio condimentum id,8/31/2025,8/31/2025
4ac6a079-d10f-4ed3-acb0-4525ad80a0b7,fc2cfcf3-6a99-494c-9bae-971fe576d59a,dapibus duis at velit eu est congue elementum in hac,8/31/2025,8/31/2025
9e8f45cc-0da8-4755-bc18-020c3281ec31,dea918a7-f8e2-4eed-93f7-bfb3ede54aae,sit,8/31/2025,8/31/2025
76df5f4d-b92b-42a8-9bd2-0d0e868cfcf4,8c34e9a0-fe72-4fd4-86ab-0d552151dd86,eget congue eget semper rutrum nulla nunc purus phasellus in,8/31/2025,8/31/2025
d7c06f0a-7fa3-41a1-a8fc-842cfa6e9f93,5dfb10fd-03ba-4d6c-a662-3e9690123007,quis turpis eget elit sodales,8/31/2025,8/31/2025
4be11d09-4a7f-4d13-94d4-d701eeb50ebe,68fd85ed-4d38-4d54-8023-fbaf04a5bcac,pede morbi porttitor,8/31/2025,8/31/2025
4f036c3a-897e-49f0-a963-673edc0747c5,6e4bb4d6-74d2-4805-b044-8e827b69a5c1,sed vel enim sit,8/31/2025,8/31/2025
228ea876-14d5-450d-bde3-9f1281e1558a,bd1edf8b-8ca6-4629-8a77-aed087bbf979,phasellus id sapien in,8/31/2025,8/31/2025
46e01dac-08ea-44c1-961b-7f66d38e1935,896acafe-f1dd-4b13-bc8b-0faf285a2870,nulla neque libero,8/31/2025,8/31/2025
a3fce14e-9eba-4320-a2ab-59d1de8c400c,a98b3f6f-c02e-4527-86a7-075adc9c0dc5,eleifend donec,8/31/2025,8/31/2025
2fa2d8d4-0f20-480c-a053-b55c31f606d8,cb1c6519-89b8-46ed-ad19-92a36a5b3eeb,rhoncus aliquam lacus,8/31/2025,8/31/2025
be753a7d-ba13-4a05-bd98-219db9aa39ec,bf35fd46-ab3c-4cc1-8119-309e80534513,feugiat et eros vestibulum ac est lacinia nisi,8/31/2025,8/31/2025
