uuid,user_id,poll_id,poll_option_id,created_at,updated_at
4249c069-78e0-4c7e-8632-69d60e7d4953,84a1a0c8-8508-432a-8749-67d8e6de134d,d546fb11-a46e-44e6-bfcd-692b6a3b712b,bdaadf8a-3e39-44ab-9f2e-30ceec78accf,11/26/2024,10/27/2024
1380a3e3-a8c1-41f3-baa0-93278a7459b0,6c5bdfe1-c94f-472d-bf8e-e22528a3b0b6,f8a1f8ea-632b-4fcb-8f4b-8162d6d81dc9,2af9b9f5-11b6-4219-8e7d-d70d9e1966ac,8/11/2025,5/25/2025
08d0b856-fcb3-4c3d-90c0-f052e788bbcb,8d637c68-6353-4114-be00-7b8995f0718d,2327ef04-4364-453e-a469-8c3badcc85cb,363e5c61-f1fe-48f7-a1b8-3890f434ab88,1/16/2025,11/7/2024
68b69456-49c4-4d4a-9f92-03a0e1f3e079,c5af87a6-f2d7-467d-b557-d00b962a7471,1eeeb934-858f-4fe1-b277-b25a2c4c4823,6e0e57d6-b52c-4f52-a9ea-1e3f1876be44,8/17/2025,12/21/2024
12f624ea-72df-458f-b65c-1450c9fb84af,11e39fe9-5c72-4d7c-8700-7b0578ee5e5a,68ec76d1-f2a5-4bd8-a33b-1e88c8f614cf,a3fce14e-9eba-4320-a2ab-59d1de8c400c,1/28/2025,12/18/2024
3317de90-2d96-4ba5-a085-d1900bd21813,ff1dd41d-2357-49a2-85d5-b49250d50920,f5660d84-1760-4c50-8d15-6a72b7b8599a,068f7efb-c745-4549-ac7d-120e69a1e0d8,7/18/2025,4/4/2025
692f34d4-ef44-45a2-9192-1d6fec7d12df,0f2076c8-285b-4b05-afe1-1402a325a4d0,831927e7-f96e-42de-bb16-6684b900c588,959c24f3-8ba0-468c-abc5-091a734e3b1f,8/16/2025,7/18/2025
cca8356b-dc3a-4174-9561-a4ce30d1ba6b,ce3650c7-52d4-4977-924c-a6d5287d30d6,7d7ff48f-7cad-450a-b357-415a50e140dc,6a97e177-9260-4b11-9594-f338bcfbe847,2/4/2025,3/26/2025
4a764f29-4066-400d-bdab-b8c06b8fe842,ecf44601-c548-48ff-a559-da1d72f711c0,051589c2-75d3-4f5f-b74c-05e06cf2f74e,0b03d4bb-b5cf-4c41-bc56-0d40d5ed6ba7,10/5/2024,6/27/2025
b4c885df-4f54-4c7f-88a3-64d5ba61acc6,72631943-4170-4826-9dba-ecfd73898b3b,5ea9ff0f-7578-4c3a-b11a-71ae899e8aa6,775ea5fa-f205-4bb1-b699-9640887ec3c9,11/15/2024,11/15/2024
33e324ae-61ff-43d7-8755-ee8c156f94ab,814430f1-1c14-4b7b-af3b-cf3a6797e0cd,9b718f0f-d9a2-4d9a-91fe-a54ac915ec06,72f9e7e7-73b8-4de1-9791-383e3e977c8a,7/16/2025,11/27/2024
