uuid,poll_uuid,option_text,created_at,updated_at
48272951-4ee0-46d4-88dd-88c74fedee1f,caaa7a84-5df5-465e-a56d-65a13edd83a0,lorem ipsum dolor sit amet consectetuer adipiscing,8/31/2025,8/31/2025
7006919c-7f19-4e4a-bfe4-87dcfde1ef86,815fefbd-4678-49e5-aa56-71a780774719,metus aenean fermentum,8/31/2025,8/31/2025
4ae764fe-872e-49d4-9369-0f516b7feaa7,4ba2b80c-c8cd-4cb6-892a-2fcb7b78489b,nullam varius nulla facilisi cras non,8/31/2025,8/31/2025
121cae7c-285b-49e8-baa5-79e5d94d0157,43027330-1136-4622-b2ee-8ff7b0b5d298,eget semper,8/31/2025,8/31/2025
253bc6e9-651e-44a8-9620-19ea2ae016ca,ed2d6f7a-40af-4fc1-9f57-c579f52ce3b8,libero nullam,8/31/2025,8/31/2025
ecde413f-5eab-40b4-a86b-7a1342107d28,0a5d318d-0bcf-4cbe-be05-da7972b989d9,elit ac nulla sed vel enim,8/31/2025,8/31/2025
2c6694d7-ed2d-4f9e-ab78-cf648bd65af2,2f13bbe6-2db8-47ea-8b92-63eceb1c1939,et,8/31/2025,8/31/2025
dc073894-1b10-4043-b87e-5499039a4486,8d336922-5439-4874-aba8-7cb2e32430dc,nulla ac enim in tempor,8/31/2025,8/31/2025
ed420945-3dc7-488e-bcfb-e354a61b7d8d,ebfeb358-6f4c-4a03-bc03-49753f99b42b,molestie sed justo pellentesque viverra pede,8/31/2025,8/31/2025
f2c9e845-21ac-4d5c-84a5-1c4c7af1040c,e765638b-c6ba-4697-abe4-cbf28ccbac82,cubilia curae mauris viverra,8/31/2025,8/31/2025
492cce50-e6b6-4fa4-9065-7dbaa226e4e1,42aeed58-d77a-4a20-bab8-eca30164df06,sit amet cursus id,8/31/2025,8/31/2025
48f7bc11-f371-4b97-b1c5-590ef5823fed,4a54c1f1-e471-4ae3-9e2d-386b9fbf4182,lacus at,8/31/2025,8/31/2025
a767efe7-81af-4d81-a835-6e41c18841af,f401179f-8e5b-4dda-a4a2-8bf2b279c9f3,felis fusce posuere felis sed,8/31/2025,8/31/2025
291e8b0f-a321-43e7-9547-5ece47d9a3b3,8df39aab-0716-4c1a-9671-1e35ae8a502d,faucibus accumsan odio curabitur convallis duis consequat dui nec,8/31/2025,8/31/2025
ffbe4615-66e2-4ea9-bf7a-f13b0142b09b,884024a8-3f12-4348-a71f-05401952e702,molestie hendrerit at vulputate vitae nisl aenean lectus,8/31/2025,8/31/2025
73e0e296-d5a9-4382-a228-12b57c1c7be1,0c27a68b-7ec2-48f3-a7fa-cf05e6c9ac3d,lobortis est phasellus sit,8/31/2025,8/31/2025
b55fc36d-e72f-46a4-ba1d-aeea79b419e2,6c535f1b-6a98-4303-b7ca-ab2448994d97,parturient,8/31/2025,8/31/2025
0eccdfcb-1f77-46aa-a678-1466f4d97dc7,5d70e6db-67d1-4181-af04-4e685133dcaf,dui nec nisi volutpat eleifend donec ut dolor morbi,8/31/2025,8/31/2025
223182c4-91b9-4ae2-b8b5-a14815ea188b,dd5579e8-f17d-4e45-9be7-163806d30cfa,justo pellentesque,8/31/2025,8/31/2025
d7a678f4-de53-43f2-9895-174dedcce73b,9c8a6748-af3e-4281-a163-b3d1a3b317dd,posuere metus,8/31/2025,8/31/2025
74aff205-14b1-493d-ab68-f313fd298392,dcdacd5f-56b8-458e-9b9c-52519776b436,laoreet ut rhoncus,8/31/2025,8/31/2025
79db045a-05ff-43f0-883b-c71d6372145d,baebd4a6-c528-4e3e-9806-f3dd8665616f,at ipsum ac tellus semper,8/31/2025,8/31/2025
572c596b-e228-45b0-86a9-4ba29fcc3737,46467857-43e9-41f1-860d-e58aa735d23b,massa id lobortis,8/31/2025,8/31/2025
1e7ca7f9-696c-4b43-95bf-96dd76c665a0,ad2c5e0b-ceea-49d7-a8d5-7ec4438d39b6,non pretium quis,8/31/2025,8/31/2025
0f8fb748-6c22-4a15-84de-17bc5d17cf5e,a8a841f7-4cda-4258-b9ff-b5eeb16e5695,nibh in lectus pellentesque at nulla suspendisse potenti cras in,8/31/2025,8/31/2025
2928df9e-061e-4d9a-9360-f5a15c866ac9,a44aea00-61b5-453b-a876-2e18e2201782,blandit lacinia erat vestibulum sed magna,8/31/2025,8/31/2025
38d49e65-820c-452a-93c8-93a1003387bd,27cdfd83-a1b7-4a84-bd72-7777d60df037,justo eu massa donec dapibus duis,8/31/2025,8/31/2025
d2e5283c-b7ed-4942-a169-48a8b3cd2e6b,c2fe69c0-9459-4a0c-83d3-e86f3aed2d82,tortor quis turpis sed ante,8/31/2025,8/31/2025
415ddd86-bc65-4518-b82b-3345515c05d9,34119887-517e-4d7b-8216-adfe472e5202,justo etiam,8/31/2025,8/31/2025
60c4bea5-7e2a-4469-8787-fc26cd5dec8e,606a1d87-7003-4054-9830-4408dc20cc2d,varius nulla facilisi cras non velit nec nisi vulputate,8/31/2025,8/31/2025
853a5fa9-0e0b-49f0-ba3f-1a0bec49f926,e0f48fde-cab6-458e-bc7c-3f22bc887a6d,quis orci eget,8/31/2025,8/31/2025
7ebf03c5-b5e4-4eb9-9c3e-7d8f917c3521,8ee84aff-8574-44f3-b984-ec82f3e6c96b,at ipsum ac tellus,8/31/2025,8/31/2025
04947fa1-bb94-496a-a6c9-1bb4db624b8d,3ffaa1c2-6e6b-4c7a-ad6f-9294c8abbd52,cum sociis,8/31/2025,8/31/2025
e592ee77-1548-499f-b820-d6ade2fd75b3,9b7af529-138a-48e9-8f1f-2bdc7c8a7b3c,ultrices posuere cubilia,8/31/2025,8/31/2025
