uuid,poll_uuid,option_text,created_at,updated_at
433de225-5a50-4e94-93fa-0f5769204fae,097652a6-69ce-40e2-880e-aea6c5f091b6,massa tempor convallis nulla neque,8/31/2025,8/31/2025
23f6ea24-fb06-48de-9498-879166fa319b,aec7805c-b2cc-422d-a271-9a51f216290c,vulputate vitae nisl aenean,8/31/2025,8/31/2025
9ebe2d75-3e54-4264-86e2-d9ec40f634f8,69cc102b-debe-4381-bf0f-e31fda6aa8a3,odio,8/31/2025,8/31/2025
64512edf-41a4-45fc-85d0-ba271b4c4cb7,e8925740-1da8-4f44-a724-5f3df4f76e91,sed tristique in tempus sit amet sem fusce consequat nulla,8/31/2025,8/31/2025
6d683ecf-50d7-40cf-a168-8ddf635c6afa,8cb493e7-4449-401f-a8fd-e592717e2dfa,accumsan,8/31/2025,8/31/2025
260a4ee6-bb29-486c-84ab-261eaf4c365e,606a1d87-7003-4054-9830-4408dc20cc2d,dolor morbi vel,8/31/2025,8/31/2025
5f33dd1b-cd29-4bee-9082-621972c03a83,c74d6e17-d04e-4e74-8425-486d1dd80215,vivamus vel nulla eget eros elementum pellentesque quisque porta,8/31/2025,8/31/2025
55103afa-145f-40d6-9b8d-ade6b2c7244e,650398ac-1103-4b92-9ffb-069ea81e246d,dictumst,8/31/2025,8/31/2025
77404277-a511-42a1-b795-24798276f36b,5f53f3b7-85da-410c-ba08-7986a443a0ba,tempus,8/31/2025,8/31/2025
0a80ddbd-20fa-42b8-9a3f-6887bb6f6114,47d97ff3-95aa-4734-9b3d-97286e91bef1,sed magna at nunc,8/31/2025,8/31/2025
4472995a-3455-4db0-bf04-6245b8377f25,8b7cdff4-5e5c-416f-858a-6ecd767118e7,odio condimentum id luctus,8/31/2025,8/31/2025
9fe51924-0991-469c-961f-abb64faa2b6a,4b8c0b73-ce35-4bd2-8c63-b95f1919f71a,velit donec diam neque vestibulum,8/31/2025,8/31/2025
71904541-34cf-414c-91ce-6b0f959387d9,a11def17-81f9-402e-be1b-f180145966e9,convallis,8/31/2025,8/31/2025
849e3394-4fe7-482c-8a04-e318a17d129a,c9867c6d-84e6-49c8-b7e7-da6496651703,lacus at velit vivamus vel nulla eget eros,8/31/2025,8/31/2025
14bdeaea-30c2-44a5-a80b-53f49e8c5128,42882ece-b7a1-4245-ac9d-4a78f95ba880,ultrices enim lorem ipsum dolor,8/31/2025,8/31/2025
64120d23-9ed7-4d38-93df-93e7fc40290f,8436e887-febe-442b-af60-492422f514ab,vel pede morbi porttitor lorem,8/31/2025,8/31/2025
